Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-10-01,160.52942,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-02,195.54167,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-03,235.25,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-04,187.16667,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-05,171.125,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-06,168.5,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-07,168.0,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-08,166.56,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-09,160.72,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-10,158.96,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-11,164.92,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-12,166.12,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-13,160.24,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-14,155.44,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-15,154.24,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-16,153.56,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-17,156.24,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-18,174.64,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-19,202.16,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-20,199.56,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-21,181.92,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-22,171.36,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-23,172.4,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-24,189.68,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-25,159.56,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-26,155.66667,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-27,155.0,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-28,153.28,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-29,153.48,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-30,151.24,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-10-31,151.72,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-01,148.0,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-02,141.16,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-03,136.04,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-04,136.32,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-05,137.4,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-06,147.4,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-07,148.44,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-08,147.68,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-09,145.12,streamflow,9277500,ft3/s,"['A', '[91]']",0
1986-11-10,153.2,streamflow,9277500,ft3/s,"['A', '[91]']",0
